numservers,numusers,f,messagesize,totaltime
128,10000,0.1,10000,5373939412222.0
128,25000,0.1,10000,7779990901713.0
128,50000,0.1,10000,9829879361531.0
128,75000,0.1,10000,12248666783904.0
128,100000,0.1,10000,15691877205162.0
128,10000,0.1,1000,17771717083372.0
128,25000,0.1,1000,23533352727888.0
128,50000,0.1,1000,30154406959256.0
128,75000,0.1,1000,34496614221054.0
128,100000,0.1,1000,39471420919237.0
128,10000,0.1,5000,6634284125422.0
128,25000,0.1,5000,9846506911888.0
128,50000,0.1,5000,12110453635356.0
128,75000,0.1,5000,14490306415054.0
128,100000,0.1,5000,16504367320987.0
128,10000,0.1,20000,4527428846959.5
128,25000,0.1,20000,6804890992400.5
128,50000,0.1,20000,9543212863806.0
128,75000,0.1,20000,12269791031454.0
128,100000,0.1,20000,15471609480387.0
128,10000,0.2,10000,8959567345991.0
128,25000,0.2,10000,12914978195594.0
128,50000,0.2,10000,17636498964739.0
128,75000,0.2,10000,24097651933077.0
128,100000,0.2,10000,29916570575438.0
128,10000,0.2,1000,31276029432516.0
128,25000,0.2,1000,43143037256919.0
128,50000,0.2,1000,54473672295289.0
128,75000,0.2,1000,65104208712627.0
128,100000,0.2,1000,75609895172313.0
128,10000,0.2,5000,11708776397916.0
128,25000,0.2,5000,16490496944069.0
128,50000,0.2,5000,20850431734189.0
128,75000,0.2,5000,26316328143577.0
128,100000,0.2,5000,31704477408013.0
128,10000,0.2,20000,7546454371403.5
128,25000,0.2,20000,11601653504631.5
128,50000,0.2,20000,17213252763739.0
128,75000,0.2,20000,22634729132302.0
128,100000,0.2,20000,27651845978550.5
128,10000,0.3,10000,15449713185042.0
128,25000,0.3,10000,23383472227531.0
128,50000,0.3,10000,31809943955546.0
128,75000,0.3,10000,41783153659113.0
128,100000,0.3,10000,52497767359369.0
128,10000,0.3,1000,54463581691192.0
128,25000,0.3,1000,78917535005606.0
128,50000,0.3,1000,99251984375096.0
128,75000,0.3,1000,118074301102313.0
128,100000,0.3,1000,139129340412219.0
128,10000,0.3,5000,19911209150692.0
128,25000,0.3,5000,29494796100506.0
128,50000,0.3,5000,38020547362196.0
128,75000,0.3,5000,48034614218063.0
128,100000,0.3,5000,59860443884719.0
128,10000,0.3,20000,13183393497454.5
128,25000,0.3,20000,20884180035768.5
128,50000,0.3,20000,29429054722283.5
128,75000,0.3,20000,38485084977250.5
128,100000,0.3,20000,47880259173144.0
