numservers,numusers,f,messagesize,numlayers,binsize,bandwidth,latency,round,pathestablishment,roundtime
128, 10000, 0.2, 1024, 92, 9, 200, 150, 0, true, 279
128, 10000, 0.2, 1024, 92, 9, 200, 150, 1, true, 60217382290
128, 10000, 0.2, 1024, 92, 9, 200, 150, 2, true, 30631581102
128, 10000, 0.2, 1024, 92, 9, 200, 150, 3, true, 15559161167
128, 10000, 0.2, 1024, 92, 9, 200, 150, 4, true, 18210205512
128, 10000, 0.2, 1024, 92, 9, 200, 150, 5, true, 17268207617
128, 10000, 0.2, 1024, 92, 9, 200, 150, 6, true, 16385390904
128, 10000, 0.2, 1024, 92, 9, 200, 150, 7, true, 18408739700
128, 10000, 0.2, 1024, 92, 9, 200, 150, 8, true, 17229123241
128, 10000, 0.2, 1024, 92, 9, 200, 150, 9, true, 17709417364
128, 10000, 0.2, 1024, 92, 9, 200, 150, 10, true, 20487188612
128, 10000, 0.2, 1024, 92, 9, 200, 150, 11, true, 20567401172
128, 10000, 0.2, 1024, 92, 9, 200, 150, 12, true, 21987133387
128, 10000, 0.2, 1024, 92, 9, 200, 150, 13, true, 22104021446
128, 10000, 0.2, 1024, 92, 9, 200, 150, 14, true, 21382004812
128, 10000, 0.2, 1024, 92, 9, 200, 150, 15, true, 19853125786
128, 10000, 0.2, 1024, 92, 9, 200, 150, 16, true, 20192160812
128, 10000, 0.2, 1024, 92, 9, 200, 150, 17, true, 21390632775
128, 10000, 0.2, 1024, 92, 9, 200, 150, 18, true, 23158733545
128, 10000, 0.2, 1024, 92, 9, 200, 150, 19, true, 21755817211
128, 10000, 0.2, 1024, 92, 9, 200, 150, 20, true, 21276678376
128, 10000, 0.2, 1024, 92, 9, 200, 150, 21, true, 20974106874
128, 10000, 0.2, 1024, 92, 9, 200, 150, 22, true, 21198736637
128, 10000, 0.2, 1024, 92, 9, 200, 150, 23, true, 22614678584
128, 10000, 0.2, 1024, 92, 9, 200, 150, 24, true, 23176060232
128, 10000, 0.2, 1024, 92, 9, 200, 150, 25, true, 25150140141
128, 10000, 0.2, 1024, 92, 9, 200, 150, 26, true, 22531865857
